ID;RA;Compuesto;Concentración;Cantidad
T1-4;1;IAA;3,3938688346;2,5239480674
T1-4;2;IAA;3,7859607933;2,8155385176
T1-4;3;IAA;3,8697870422;2,877878316
T1-5;1;IAA;2,0869704728;1,5086533539
T1-5;2;IAA;2,5872622104;1,8703100316
T1-5;3;IAA;2,4605280664;1,7786949877
T1-2;1;IAA;3,5828615146;2,6370423317
T1-2;2;IAA;3,5981871034;2,6483222057
T1-2;3;IAA;3,7618305385;2,7687663433
T1-1;1;IAA;3,6426781155;2,6837019515
T1-1;2;IAA;3,3663949006;2,480153414
T1-1;3;IAA;3,7188597516;2,7398279113
T1-3;1;IAA;4,975619115;3,6265445445
T1-3;2;IAA;5,4242327752;3,9535224309
T1-3;3;IAA;5,538854099;4,0370656698
Ff-4;1;IAA;13,2067154974;9,8951414816
Ff-4;2;IAA;13,2390915034;9,9193992283
Ff-4;3;IAA;12,2525086302;9,1802012714
Ff-5;1;IAA;6,2742526246;4,6338645676
Ff-5;2;IAA;6,528502913;4,8216417378
Ff-5;3;IAA;5,7851705449;4,2726518057
Ff-3;1;IAA;6,91951487;4,9284293946
Ff-3;2;IAA;6,8586288667;4,8850632954
Ff-3;3;IAA;7,6818567317;5,4714079286
Ff-1;1;IAA;8,0388283486;5,7639782614
Ff-1;2;IAA;7,9563682478;5,7048529501
Ff-1;3;IAA;7,8021596307;5,594282718
Ff-2;1;IAA;5,9457233572;4,2919081019
Ff-2;2;IAA;6,2377114614;4,5026791107
Ff-2;3;IAA;5,307635832;3,8313059422
T1-4;1;ABA;72,6577741902;54,0340412916
T1-4;2;ABA;68,29371589;50,7885839539
T1-4;3;ABA;69,9484862594;52,0192014819
T1-5;1;ABA;111,6261726858;80,693618809
T1-5;2;ABA;106,0934840611;76,6940848634
T1-5;3;ABA;105,4205290516;76,2076113626
T1-2;1;ABA;162,9814635198;119,9569162314
T1-2;2;ABA;166,2095116295;122,3328103259
T1-2;3;ABA;159,4823199226;117,3814916015
T1-1;1;ABA;324,0977960778;238,7753900377
T1-1;2;ABA;324,6246264753;239,1635263816
T1-1;3;ABA;315,7020496509;232,5899187015
T1-3;1;ABA;135,9312805324;99,0752773559
T1-3;2;ABA;136,7621201426;99,680845585
T1-3;3;ABA;134,0950930883;97,7369483151
Ff-4;1;ABA;24,6761279502;18,4886073553
Ff-4;2;ABA;23,8643061984;17,8803492995
Ff-4;3;ABA;25,8311842953;19,3540341873
Ff-5;1;ABA;68,7790299503;50,7969201997
Ff-5;2;ABA;70,5797690955;52,1268604842
Ff-5;3;ABA;71,3506977273;52,6962317041
Ff-3;1;ABA;91,2087793251;64,9635180378
Ff-3;2;ABA;92,282362876;65,7281786866
Ff-3;3;ABA;90,4353660447;64,412653878
Ff-1;1;ABA;95,3888278295;68,3954310441
Ff-1;2;ABA;94,6772633372;67,8852270582
Ff-1;3;ABA;93,2516707517;66,8630526422
Ff-2;1;ABA;73,7968349787;53,2700926218
Ff-2;2;ABA;76,9463674188;55,5435760964
Ff-2;3;ABA;78,2561587395;56,4890462508
T1-4;1;SA;90,2059564939;67,0842512349
T1-4;2;SA;87,9510460482;65,4073222966
T1-4;3;SA;91,6162212782;68,1330351598
T1-5;1;SA;85,1082600281;61,5240433938
T1-5;2;SA;87,3812638732;63,1671787035
T1-5;3;SA;82,4978461479;59,6369972154
T1-2;1;SA;121,142929458;89,1630982272
T1-2;2;SA;114,5445776082;84,3066076606
T1-2;3;SA;121,1280120397;89,1521187731
T1-1;1;SA;100,7159570983;74,2013436383
T1-1;2;SA;107,1317959244;78,9281404158
T1-1;3;SA;104,715467447;77,1479377065
T1-3;1;SA;95,6623370713;69,7247354747
T1-3;2;SA;98,3271619474;71,6670276585
T1-3;3;SA;99,7875948727;72,7314831434
Ff-4;1;SA;40,2109911187;30,1281152238
Ff-4;2;SA;42,5803624194;31,9033684461
Ff-4;3;SA;40,624490403;30,4379298724
Ff-5;1;SA;42,226690306;31,1866250413
Ff-5;2;SA;37,7758708749;27,8994615029
Ff-5;3;SA;37,4296581061;27,6437652187
Ff-3;1;SA;35,6399872673;25,3846063158
Ff-3;2;SA;37,7154225558;26,8628365782
Ff-3;3;SA;37,3130241023;26,5762279931
Ff-1;1;SA;51,1957885037;36,7082613554
Ff-1;2;SA;46,1508436883;33,0909491073
Ff-1;3;SA;46,6824685006;33,4721332461
Ff-2;1;SA;27,1129075804;19,5713962322
Ff-2;2;SA;26,7108009869;19,2811364198
Ff-2;3;SA;25,7346076199;18,5764732578
T1-4;1;JA;2,2772288181;1,6935266372
T1-4;2;JA;2,0603354282;1,5322276362
T1-4;3;JA;1,9183803497;1,4266586636
T1-5;1;JA;2,5892579781;1,8717527552
T1-5;2;JA;2,8288842256;2,0449765487
T1-5;3;JA;2,6516083738;1,9168253304
T1-2;1;JA;1,6906999296;1,244381695
T1-2;2;JA;1,6602793798;1,2219916927
T1-2;3;JA;1,8030877826;1,3271009195
T1-1;1;JA;1,915893729;1,4115130616
T1-1;2;JA;2,0030878725;1,4757523619
T1-1;3;JA;2,0084859557;1,4797293387
T1-3;1;JA;5,497095641;4,0066294759
T1-3;2;JA;5,7384395707;4,1825361303
T1-3;3;JA;5,9226526734;4,3168022401
Ff-4;1;JA;1,3033381693;0,9765270999
Ff-4;2;JA;1,4113596162;1,0574622499
Ff-4;3;JA;1,4415537562;1,0800852319
Ff-5;1;JA;1,8727186387;1,3831009148
Ff-5;2;JA;1,8120558469;1,3382982621
Ff-5;3;JA;1,8509511283;1,367024467
Ff-3;1;JA;0,8589887928;0,6118153795
Ff-3;2;JA;0,8972075845;0,6390367411
Ff-3;3;JA;0,8457617303;0,6023943948
Ff-1;1;JA;2,4279122464;1,7408548612
Ff-1;2;JA;2,2984262712;1,6480111887
Ff-1;3;JA;2,3694107375;1,6989082726
Ff-2;1;JA;0,8985095004;0,6485872236
Ff-2;2;JA;0,9044629738;0,652884726
Ff-2;3;JA;0,9218076528;0,6654049467
T1-4;1;BA;0,5013834361;0,3728681974
T1-4;2;BA;0,4252207888;0,3162276565
T1-4;3;BA;0,4426930305;0,3292213911
T1-5;1;BA;0,6627830404;0,4791202702
T1-5;2;BA;0,6668283722;0,4820446064
T1-5;3;BA;0,6888272835;0,4979474339
T1-2;1;BA;1,1349800591;0,8353631446
T1-2;2;BA;1,279505748;0,9417363209
T1-2;3;BA;1,1853455324;0,8724329238
T1-1;1;BA;0,7100917931;0,5231521069
T1-1;2;BA;0,6455515956;0,4756028454
T1-1;3;BA;0,6745179588;0,4969434864
T1-3;1;BA;2,7507138883;2,0048935046
T1-3;2;BA;2,765752424;2,0158545364
T1-3;3;BA;2,7012351518;1,9688302856
Ff-4;1;BA;0,4221285892;0,3162801617
Ff-4;2;BA;0,4525144857;0,3390468175
Ff-4;3;BA;0,462959083;0,3468724398
Ff-5;1;BA;0,3760305775;0,2777182995
Ff-5;2;BA;0,3862584345;0,2852721082
Ff-5;3;BA;0,3647143685;0,2693606858
Ff-3;1;BA;0,5767265504;0,4107738963
Ff-3;2;BA;0,5829833879;0,4152303333
Ff-3;3;BA;0,6281816669;0,4474228397
Ff-1;1;BA;1,4713844982;1,0550080054
Ff-1;2;BA;1,4013462512;1,004789377
Ff-1;3;BA;1,4295389058;1,0250039956
Ff-2;1;BA;0,5367842565;0,3874766048
Ff-2;2;BA;0,5100976968;0,3682129669
Ff-2;3;BA;0,4984535269;0,359807647
T1-4;1;Z;0,2596361044;0,1930858486
T1-4;2;Z;0,2223182335;0,1653333417
T1-4;3;Z;0,2221409623;0,1652015089
T1-5;1;Z;0,2418574063;0,1748366792
T1-5;2;Z;0,2470304978;0,1785762635
T1-5;3;Z;0,2481044707;0,1793526294
T1-2;1;Z;0,2807445299;0,2066323822
T1-2;2;Z;0,2697878271;0,1985680768
T1-2;3;Z;0,2932083468;0,2158059471
T1-1;1;Z;0,238397009;0,1756363033
T1-1;2;Z;0,2009485163;0,1480465493
T1-1;3;Z;0,2744254116;0,2021798219
T1-3;1;Z;0,7100389198;0,5175210785
T1-3;2;Z;0,7119136743;0,5188875177
T1-3;3;Z;0,7094144863;0,5170659521
Ff-4;1;Z;0,0643860581;0,0482413023
Ff-4;2;Z;0,0593423874;0,0444623283
Ff-4;3;Z;0,0690526161;0,0517377243
Ff-5;1;Z;0,2027874733;0,1497691826
Ff-5;2;Z;0,1857045138;0,1371525213
Ff-5;3;Z;0,1598114117;0,1180291076
Ff-3;1;Z;0,0990380261;0,0705399046
Ff-3;2;Z;0,1025442274;0,073037199
Ff-3;3;Z;0,111600321;0,0794874081
Ff-1;1;Z;0,3091434094;0,2216611444
Ff-1;2;Z;0,2960889743;0,2123008898
Ff-1;3;Z;0,3153592018;0,2261179745
Ff-2;1;Z;0,1646826033;0,1188757964
Ff-2;2;Z;0,1467175076;0,1059077293
Ff-2;3;Z;0,1459430817;0,1053487115
T1-4;1;DHZ;0,2303658413;0,1713181765
T1-4;2;DHZ;0,2602455494;0,1935390799
T1-4;3;DHZ;0,2356029991;0,1752129394
T1-5;1;DHZ;0,269413341;0,194756632
T1-5;2;DHZ;0,2267452945;0,1639122611
T1-5;3;DHZ;0,3010878563;0,217653872
T1-2;1;DHZ;0,2629259442;0,1935176233
T1-2;2;DHZ;0,2033038787;0,1496348469
T1-2;3;DHZ;0,2581251147;0,1899841374
T1-1;1;DHZ;0,1956507037;0,1441434457
T1-1;2;DHZ;0,2611033426;0,192364938
T1-1;3;DHZ;0,222685721;0,1640611893
T1-3;1;DHZ;0,7131958007;0,5198220122
